date,timestamp,null,long,string,double,boolean
2015-07-13,2015-07-13 00:00:00.100000,,90,l6lTsvxd,903.4,true
2015-07-13,2015-07-13 00:00:00.100000,,91,XoALSEQg,394.5,true
2015-07-13,2015-07-13 00:00:00.100000,,92,0hgDRI_m,810.9,true
2015-07-13,2015-07-13 00:00:00.100000,,93,KjCRAc-A,477.4,true
2015-07-13,2015-07-13 00:00:00.100000,,94,fyQVGlT8,725.3,true
2015-07-13,2015-07-13 00:00:00.100000,,95,FpBYRPWK,316.6,true
2015-07-13,2015-07-13 00:00:00.100000,,96,9ikvnUqp,369.5,true
2015-07-13,2015-07-13 00:00:00.100000,,97,RRNYDAzK,506.5,true
2015-07-13,2015-07-13 00:00:00.100000,,90,l6lTsvxd,903.4,false
2015-07-13,2015-07-13 00:00:00.100000,,91,XoALSEQg,394.5,false
2015-07-13,2015-07-13 00:00:00.100000,,92,0hgDRI_m,810.9,false
2015-07-13,2015-07-13 00:00:00.100000,,93,KjCRAc-A,477.4,false
2015-07-13,2015-07-13 00:00:00.100000,,94,fyQVGlT8,725.3,false
2015-07-13,2015-07-13 00:00:00.100000,,95,FpBYRPWK,316.6,false
2015-07-13,2015-07-13 00:00:00.100000,,96,9ikvnUqp,369.5,false
2015-07-13,2015-07-13 00:00:00.100000,,97,RRNYDAzK,506.5,false
